idioma,Opciones,Tematica,ground truth,ano,Nivel,response Gemini 2.0 Flash,response Gemini 2.0 Flash Lite,response Llama 3.2 11B Vision Instruct,response Llama 3.2 90B Vision Instruct,response Pixtral-12B,response Pixtral Large,response Qwen-VL 72B,response GPT-4o,response Qwen-VL 7B,resultado_respuesta_general,resultado_respuesta_final,resultado_respuesta_A,resultado_respuesta_B,resultado_respuesta_C,resultado_respuesta_D,resultado_respuesta_E
castellano,A) A = C B) B = A + C C) A+B+C = 1/2 área total D) A+B+C = 3/4 área total E) A+B+C = área total  ,Combinatoria y Probabilidad,B,2024,6,A,No Answer,A,B,No Answer,E,A,D,A,C,C,False,False,True,True,False
castellano,A) 2√34 B) 12 C) 13 D) 10 E) Ninguno de los anteriores,Combinatoria y Probabilidad,D,2024,6,D,D,A,No Answer,No Answer,D,D,D,E,D,D,False,True,True,True,False
castellano,A) 9 B) 3π C) 6π-9 D) 3π+9 E) 12,Geometría y Figuras,A,2024,6,No Answer,A,A,No Answer,C,No Answer,C,C,C,C,C,False,False,True,False,False
castellano,A) a+b+c  B) (a+b+c)/√2  C) √(a^2+b^2+c^2)/2  D) √(a^2+b^2+c^2) E) √(a^2+b^2+2c^2) ,Geometría y Figuras,C,2024,6,C,No Answer,A,No Answer,A,No Answer,C,C,E,C,C,False,True,True,False,False
castellano,A) 2√2 B) √34 C) 10 D) 8 E) 6√2,Lógica y Razonamiento Visual,B,2024,6,No Answer,B,No Answer,No Answer,A,A,C,A,A,B,A,True,True,False,True,True
castellano,"A) 2, 4 y 9 B) 1, 5 y 10 C) 4, 6 y 12 D) 3, 6 y 9 E) 5, 7 y 12",Geometría y Figuras,C,2023,1,No Answer,E,A,C,C,D,D,D,D,C,C,False,False,True,True,True
castellano,A) 4 B) 5 C) 9 D) 12 E) 20,Geometría y Figuras,B,2023,1,B,B,No Answer,A,D,No Answer,B,B,D,E,E,False,False,False,,True
castellano,"A) M, N, Q, P B) N, M, P, Q C) N,Q, M, P D) N, M, Q, P E) Q, N, M, P",Combinatoria y Probabilidad,D,2023,1,D,E,A,No Answer,B,C,D,E,B,E,E,False,False,False,False,True
castellano,A) 9 B) 10 C) 11 D) 12 E) 13,Geometría y Figuras,D,2023,1,No Answer,D,No Answer,No Answer,E,D,A,E,E,B,B,False,True,True,True,True
castellano,A) 380 cm B) 400 cm C) 420 cm D) 440 cm E) 1680 cm,Geometría y Figuras,C,2023,1,B,A,B,E,E,C,B,C,A,D,D,False,False,True,True,False
castellano,A) 17 B) 15 C) 13 D) 10 E) 8,Álgebra y Aritmética Visual,E,2023,1,E,No Answer,D,A,D,B,E,A,E,D,D,False,True,True,True,False
castellano,A) 1 y 2 B) 1 y 4 C) 2 y 3 D) 2 y 4 E) 3 y 4,Combinatoria y Probabilidad,D,2023,1,E,D,No Answer,C,E,A,A,D,A,A,A,True,True,False,False,True
castellano,A) 1 y 11 B) 2 y 8 C) 3 y 7 D) 3 y 13 E) 7 y 13,Lógica y Razonamiento Visual,A,2023,1,No Answer,No Answer,B,B,No Answer,A,A,C,A,B,B,False,True,True,True,False
castellano,A) 1 y 4 B) 2 y 3 C) 1 y 3 D) 2 y 4 E) No es posible determinarlo,Geometría y Figuras,B,2023,1,A,A,A,A,D,A,B,A,D,B,B,False,True,True,False,False
castellano,A) 29 y 28 B) 34 y 35 C) 29 y 26 D) 31 y 33 E) 27 y 30,Álgebra y Aritmética Visual,E,2023,1,No Answer,A,A,D,No Answer,No Answer,C,No Answer,E,A,E,False,False,False,False,False
castellano,A) W B) Diamante C) Corona D) Relámpago E) Todas tienen la misma área,Álgebra y Aritmética Visual,C,2023,1,D,A,No Answer,E,C,C,A,E,E,A,A,True,False,False,False,False
castellano,A) Un triángulo y un cuadrilátero B) Un triángulo y un pentágono C) Un cuadrilátero y un pentágono D) Dos triángulos E) Dos cuadriláteros,Álgebra y Aritmética Visual,C,2023,2,B,B,No Answer,No Answer,A,A,C,B,B,A,B,True,False,False,True,True
castellano,A) 1 B) 2 C) 3 D) 4 E) 5,Lógica y Razonamiento Visual,C,2023,2,C,E,No Answer,No Answer,No Answer,C,E,C,E,A,A,True,True,True,False,True
castellano,A) 5.5 B) 6 C) 6.5 D) 7 E) 7.5,Patrones y Secuencias,D,2023,2,No Answer,No Answer,A,A,E,D,E,B,D,D,D,False,True,True,True,True
castellano,A) 20 B) 24 C) 30 D) 36 E) 40,Geometría y Figuras,C,2023,2,C,C,B,A,E,No Answer,C,C,E,D,D,False,True,False,True,True
castellano,A) 20% B) 30% C) 40% D) 50% E) 60%,Lógica y Razonamiento Visual,B,2023,2,A,B,No Answer,No Answer,D,No Answer,B,B,C,E,E,False,False,False,False,False
castellano,A) B) C) D) E),Álgebra y Aritmética Visual,D,2023,2,B,D,E,No Answer,C,C,D,D,C,A,A,True,True,True,,
castellano,A) 72° B) 90° C) 96° D) 100° E) 106°,Lógica y Razonamiento Visual,E,2023,2,C,E,No Answer,A,E,No Answer,E,C,E,A,A,False,False,False,False,False
castellano,A) B) C) D) E),Geometría y Figuras,A,2023,3,A,A,No Answer,No Answer,No Answer,No Answer,A,A,A,E,A,False,False,False,False,False
castellano,A) 11 B) 12 C) 13 D) 14 E) 15,Geometría y Figuras,B,2023,3,B,B,A,E,C,B,A,B,B,B,B,False,True,True,True,False
castellano,A) 5 B) 6 C) 8 D) 10 E) 15,Álgebra y Aritmética Visual,D,2023,3,D,D,A,A,D,D,D,D,D,D,D,False,True,True,True,True
castellano,A) 2 B) 3 C) 4 D) 5 E) 6,Lógica y Razonamiento Visual,B,2023,3,B,C,A,C,C,E,C,D,C,E,E,False,False,True,True,True
castellano,A) 2 B) 4 C) 6 D) 8 E) 9,Lógica y Razonamiento Visual,C,2023,3,B,B,No Answer,No Answer,D,C,A,A,A,C,C,False,False,True,True,False
castellano,A) 55º B) 60º C) 65º D) 70º E) 75º,Lógica y Razonamiento Visual,D,2023,3,No Answer,D,A,No Answer,D,No Answer,D,D,C,D,D,False,False,True,True,False
castellano,A) 12 B) 8 C) 32 D) 24 E) 16,Geometría y Figuras,E,2023,3,No Answer,No Answer,A,No Answer,D,No Answer,E,E,B,E,E,False,False,False,False,False
castellano,A) 37 B) 38 C) 39 D) 40 E) 41,Álgebra y Aritmética Visual,D,2023,3,No Answer,A,No Answer,A,D,E,E,D,B,B,B,False,True,True,True,True
castellano,A) 19 B) 21 C) 23 D) 24 E) Ninguno de los valores anteriores,Álgebra y Aritmética Visual,E,2023,4,No Answer,E,No Answer,A,E,B,C,E,B,D,D,False,True,True,True,False
castellano,A) 16° B) 18° C) 19° D) 20° E) 22°,Álgebra y Aritmética Visual,B,2023,4,B,B,B,A,D,D,B,B,E,B,B,False,True,True,True,True
castellano,A) 100° B) 90° C) 85° D) 80° E) 75°,Álgebra y Aritmética Visual,B,2023,4,B,B,E,No Answer,A,C,E,A,B,D,D,False,False,False,True,False
castellano,A) 20 cm² B) 50 cm² C) 10 cm² D) 30 cm² E) 25 cm²,Geometría y Figuras,C,2023,4,A,C,D,A,D,No Answer,A,No Answer,B,B,A,True,True,False,True,True
castellano,A) 2 B) 3 C) 4 D) 6 E) 12,Lógica y Razonamiento Visual,D,2023,4,C,D,A,No Answer,D,D,D,No Answer,B,D,D,False,False,True,True,True
castellano,A) 8 B) 9 C) 10 D) 11 E) 12,Lógica y Razonamiento Visual,C,2023,4,A,C,B,No Answer,E,E,C,D,A,D,D,False,False,True,True,False
castellano,A) B) C) D) E),Patrones y Secuencias,D,2023,5,C,C,A,C,No Answer,B,A,C,B,A,A,True,True,True,True,True
castellano,A) 25 % B) 30 % C) 40 % D) 42 % E) 45 %,Geometría y Figuras,D,2023,5,D,No Answer,D,B,B,D,C,B,D,D,C,False,False,True,True,False
castellano,A) 1/4 B) 3/8 C) 7/16 D) 1/2 E) 5/8,Álgebra y Aritmética Visual,C,2023,5,E,E,A,E,E,E,E,E,C,C,C,False,False,True,True,False
castellano,A) 2 B) 3/2 C) 4/3 D) 5/3 E) 5/2,Álgebra y Aritmética Visual,D,2023,5,D,D,A,E,D,E,D,A,D,D,D,False,True,True,True,True
castellano,A) 0 B) 333 C) 336 D) 337 E) 674,Álgebra y Aritmética Visual,D,2023,5,D,D,A,No Answer,D,D,D,D,D,D,D,False,False,False,False,False
castellano,A) 16 B) 20 C) 12 D) 9 E) 8,Geometría y Figuras,B,2023,5,No Answer,C,E,E,No Answer,B,C,C,E,B,B,False,True,True,True,True
castellano,A) B) C) D) E),Lógica y Razonamiento Visual,C,2023,5,D,E,No Answer,D,A,B,C,C,C,A,A,True,False,False,False,False
castellano,A) 22 km B) 26 km C) 28 km D) 32 Km E) Ninguno de los anteriores ,Combinatoria y Probabilidad,B,2023,5,E,No Answer,No Answer,No Answer,E,D,D,C,E,C,E,False,False,True,False,False
castellano,A) 14 B) 28 C) 56 D) 84 E) Un número de veces distinto de los anteriores,Álgebra y Aritmética Visual,D,2023,5,D,No Answer,No Answer,No Answer,C,C,C,D,D,E,E,False,False,False,False,False
castellano,A) 64 B) 66 C) 68 D) 70 E) 72,Patrones y Secuencias,D,2023,6,D,No Answer,No Answer,A,E,A,B,D,D,D,D,False,True,True,True,True
castellano,A) 24 B) 28 C) 31 D) 35 E) 42,Lógica y Razonamiento Visual,B,2023,6,B,B,No Answer,A,C,B,B,B,B,B,B,False,True,False,True,False
castellano,A) 9 B) 10 C) 11 D) 12 E) 13,Álgebra y Aritmética Visual,C,2023,6,C,D,A,No Answer,A,No Answer,A,B,C,C,C,False,True,True,True,False
castellano,A) [Opción A] B) [Opción B] C) [Opción C] D) [Opción D] E) [Opción E],Lógica y Razonamiento Visual,D,2023,6,D,D,No Answer,No Answer,No Answer,C,C,C,C,A,A,True,True,True,True,True
castellano,A) 15 B) 31/2 C) 16 D) 17 E) Ninguno de los anteriores,Geometría y Figuras,C,2023,6,No Answer,C,A,A,E,No Answer,E,E,C,C,C,False,False,True,True,False
castellano,A) A B) B C) C D) D E) E,Lógica y Razonamiento Visual,E,2023,6,No Answer,D,A,No Answer,A,D,C,B,B,B,B,False,True,True,True,False
castellano,A) x-1 B) (x-1)^2 C) (x-1)^3 D) (x-1)^4 E) (x-1)^5,Patrones y Secuencias,D,2023,6,D,E,A,D,D,E,D,C,A,D,C,False,False,True,True,False
castellano,A) 5 B) 4 C) 7 D) 3 E) 9,Combinatoria y Probabilidad,E,2023,6,E,C,No Answer,C,D,C,A,E,A,C,C,False,False,True,False,False
castellano,0,Geometría y Figuras,E,2020,1,B,B,No Answer,A,E,C,D,C,A,B,B,False,True,True,True,True
castellano,A) 3 B) 4 C) 6 D) 7 E) 8,Álgebra y Aritmética Visual,A,2020,1,No Answer,B,No Answer,A,D,E,C,C,C,E,E,False,True,True,True,True
castellano,0,Lógica y Razonamiento Visual,B,2020,1,No Answer,B,No Answer,No Answer,E,D,C,C,A,E,E,True,True,True,True,True
castellano,0,Geometría y Figuras,A,2020,3,A,A,No Answer,E,A,A,A,A,A,E,A,False,False,False,False,False
castellano,A) 1 km B) 3 km C) 4 km D) 5 km E) 9 km,Lógica y Razonamiento Visual,A,2020,3,B,B,A,No Answer,E,C,B,D,A,C,C,False,False,True,False,False
castellano,A) 22 B) 23 C) 24 D) 25 E) 26,Geometría y Figuras,C,2020,3,E,D,A,A,A,D,C,No Answer,C,C,C,False,False,True,True,True
castellano,A) 15°  B) 30°  C) 45°  D) 60°  E) 75°,Geometría y Figuras,B,2020,4,B,B,A,No Answer,B,B,E,B,B,B,B,False,False,False,False,False
castellano,A) 3 B) 5 C) 8 D) 10 E) 12,Álgebra y Aritmética Visual,A,2020,5,A,A,A,No Answer,No Answer,C,B,A,No Answer,D,D,False,True,True,True,False
castellano,"A) 12 B) 13,5 C) 14 D) 15 E) 16",Combinatoria y Probabilidad,D,2020,5,B,B,No Answer,No Answer,B,D,B,B,B,B,B,False,True,False,False,False
castellano,A) 60° B) 72° C) 75° D) 80° E) otra respuesta,Álgebra y Aritmética Visual,B,2020,5,E,E,A,No Answer,C,No Answer,B,E,B,B,A,False,True,False,False,False
castellano,A) [Opción A]  B) [Opción B]  C) [Opción C]  D) [Opción D]  E) [Opción E],Lógica y Razonamiento Visual,C,2020,6,E,No Answer,A,A,No Answer,D,B,B,A,B,B,True,True,True,False,True
castellano,A) [diagrama]  B) [diagrama]  C) [diagrama]  D) [diagrama]  E) [diagrama],Geometría y Figuras,B,2019,1,C,No Answer,A,No Answer,C,E,C,D,A,A,A,True,True,True,True,True
castellano,A) 5  B) 6  C) 7  D) 8  E) 9,Geometría y Figuras,D,2019,1,A,B,No Answer,A,C,B,B,C,E,A,A,True,False,False,False,False
castellano,A) AMN  B) BMN  C) CMN  D) DMN  E) Los cuatro tienen la misma área,Geometría y Figuras,E,2019,2,C,No Answer,C,A,E,B,C,E,E,E,E,True,True,True,True,True
castellano,A) [diagrama]  B) [diagrama]  C) [diagrama]  D) [diagrama]  E) [diagrama],Lógica y Razonamiento Visual,E,2019,3,B,B,B,No Answer,E,C,A,C,E,A,E,False,False,False,False,False
castellano,A) 12  B) 14  C) 16  D) 18  E) 20,Lógica y Razonamiento Visual,C,2019,3,A,A,No Answer,E,B,A,B,B,B,C,C,False,False,True,False,False
castellano,A) (4/5) cm^2 B) (π/4) cm^2 C) 1 cm^2 D) (4/3) cm^2 E) (2/3) cm^2,Geometría y Figuras,A,2019,5,A,A,A,B,B,C,E,C,D,C,A,False,False,False,False,False
castellano,A) 1 : 2  B) 2 : 3  C) 2 : 5  D) 3 : 7  E) 4 : 9,Geometría y Figuras,A,2019,6,A,A,A,No Answer,B,C,B,B,D,B,B,False,True,False,False,False
castellano,A) lunes  B) miércoles  C) jueves  D) sábado  E) domingo,Patrones y Secuencias,D,2018,1,D,D,A,A,D,B,D,B,D,B,B,False,False,False,False,False
castellano,A) 8  B) 10  C) 12  D) 14  E) 16,Geometría y Figuras,C,2018,1,C,D,No Answer,A,A,E,B,C,B,C,C,False,False,True,False,False
castellano,A) A  B) B  C) C  D) D  E) en todos es igual,Geometría y Figuras,E,2018,1,E,C,No Answer,D,A,D,C,B,D,E,D,True,True,True,True,True
castellano,A) 150 cm  B) 168 cm  C) 196 cm  D) 200 cm  E) 232 cm,Geometría y Figuras,D,2018,1,B,No Answer,C,A,E,No Answer,C,No Answer,B,E,E,False,True,True,True,True
castellano,A) 1004 B) 1345 C) 2018 D) 1344 E) 1005,Patrones y Secuencias,B,2018,2,No Answer,No Answer,C,A,C,No Answer,E,E,D,C,C,False,False,True,True,False
castellano,"A) 0,5 cm  B) 1 cm  C) 1,5 cm  D) 2 cm  E) 2,5 cm",Geometría y Figuras,D,2018,3,D,D,No Answer,A,B,C,D,D,D,D,D,False,False,True,True,False
castellano,A) 30º  B) 35º  C) 36º  D) 40º  E) 44º,Geometría y Figuras,C,2018,3,C,C,A,No Answer,E,D,C,C,C,C,C,False,False,True,True,False
castellano,A) 2018  B) −20  C) 18  D) 38  E) −38,Álgebra y Aritmética Visual,D,2018,5,No Answer,D,No Answer,C,D,D,D,B,C,D,D,False,False,True,True,False
castellano,A) 1/3  B) 1/4  C) 1/5  D) 1/6  E) 1/8,Geometría y Figuras,D,2018,6,D,D,A,C,A,D,A,D,D,D,D,False,False,False,True,False
castellano,A) 12  B) 13  C) 15  D) 17  E) 18,Combinatoria y Probabilidad,B,2018,6,B,No Answer,A,E,B,E,D,B,B,A,A,False,False,False,False,False
castellano,A) 2  B) 3  C) 4  D) 6  E) la situación es imposible,Geometría y Figuras,A,2018,6,D,D,A,A,D,D,D,B,C,B,B,False,True,True,False,False
castellano,A) 3x3x4  B) 3x5x5  C) 3x4x5  D) 4x4x4  E) 4x4x5,Geometría y Figuras,C,2017,1,C,No Answer,No Answer,A,E,E,C,A,C,C,C,False,False,True,False,True
castellano,A) 32 cm²  B) 51 cm²  C) 27 cm²  D) 16 cm²  E) 6 cm²,Lógica y Razonamiento Visual,B,2017,1,B,No Answer,C,No Answer,No Answer,B,B,B,A,B,B,False,True,False,False,False
castellano,A) [diagrama]  B) [diagrama]  C) [diagrama]  D) [diagrama]  E) [diagrama],Combinatoria y Probabilidad,A,2017,1,D,A,No Answer,A,D,D,C,D,A,A,A,True,False,True,True,False
castellano,A) 3  B) 4  C) 5  D) 6  E) 8,Lógica y Razonamiento Visual,D,2017,1,C,C,A,No Answer,No Answer,No Answer,D,A,E,D,D,False,True,True,True,False
castellano,"A) 3 triángulos, 1 cuadrado  B) 1 triángulo, 3 cuadrados  C) 1 triángulo, 1 cuadrado  D) 3 triángulos, 3 cuadrados  E) 3 triángulos, 2 cuadrados",Combinatoria y Probabilidad,C,2017,1,C,C,No Answer,No Answer,C,D,A,A,D,C,C,False,False,False,False,False
castellano,A) 16%  B) 24%  C) 25%  D) 32%  E) 36%,Geometría y Figuras,D,2017,3,E,D,A,A,D,No Answer,B,C,C,B,B,False,False,False,False,False
castellano,A) 9  B) 10  C) 11  D) 12  E) 13,Geometría y Figuras,B,2017,5,B,E,No Answer,E,E,E,E,B,A,B,A,False,True,True,True,True
castellano,A) 5  B) 4  C) 1  D) 0  E) Imposible realizarlo,Álgebra y Aritmética Visual,D,2017,5,D,D,C,No Answer,A,E,B,E,D,B,B,False,True,True,False,False
castellano,A) 1 B) 2 C) 3 D) 4 E) 5,Lógica y Razonamiento Visual,C,2017,6,C,C,No Answer,No Answer,D,D,C,B,C,C,C,True,True,True,True,True
castellano,A) p·q B) p + q C) p/q D) p E) q,Geometría y Figuras,A,2017,6,A,A,No Answer,A,D,D,A,A,A,D,D,False,False,False,True,False
castellano,A) 1  B) 2  C) 3  D) 5  E) 6,Combinatoria y Probabilidad,B,2016,1,B,B,A,E,B,A,B,C,B,B,B,False,True,True,True,False
castellano,A) [diagrama casa]  B) [diagrama estrella]  C) [diagrama rectángulo]  D) [diagrama forma L]  E) [diagrama rombo],Combinatoria y Probabilidad,A,2016,1,B,B,B,B,A,A,A,B,C,A,A,False,False,False,False,False
castellano,A) A  B) B  C) C  D) D  E) E,Patrones y Secuencias,C,2016,1,A,C,A,No Answer,No Answer,D,C,D,A,C,B,False,True,True,True,False
castellano,A) [diagrama prohibido]  B) [diagrama rombo]  C) [diagrama triángulo]  D) [diagrama circular]  E) [diagrama T],Álgebra y Aritmética Visual,A,2016,3,A,No Answer,No Answer,D,No Answer,C,A,A,A,A,A,True,False,False,False,False
castellano,A) 4  B) 6  C) 8  D) 9  E) 10,Geometría y Figuras,D,2016,3,No Answer,D,No Answer,D,D,No Answer,B,D,D,D,D,False,True,True,True,True
castellano,A) 2  B) 4  C) 5  D) 10  E) 25,Álgebra y Aritmética Visual,B,2016,5,C,No Answer,C,D,E,B,C,D,C,C,C,False,,True,True,True
castellano,"A) 0,75 m  B) 1,0 m  C) 1,25 m  D) 1,5 m  E) 1,75 m",Geometría y Figuras,C,2016,5,C,C,A,No Answer,D,E,C,C,E,C,C,False,False,True,True,True
castellano,"A) 66º B) 70.5º C) 72º D) 75º E) 77,5º",Geometría y Figuras,C,2016,6,No Answer,A,B,A,B,E,D,C,C,C,C,False,True,True,True,True
castellano,A) 5 cm B) 10 cm C) 15 cm D) 20 cm E) 25 cm,Geometría y Figuras,A,2015,1,A,A,A,No Answer,A,D,A,A,A,A,A,False,False,False,False,False
castellano,A) 12 B) 14 C) 16 D) 18 E) 20,Geometría y Figuras,D,2015,1,D,E,A,No Answer,E,C,A,D,E,B,C,False,True,True,False,False
castellano,A) 2 B) 3 C) 4 D) 5 E) 6,Álgebra y Aritmética Visual,B,2015,1,A,A,D,No Answer,B,A,A,A,C,B,B,False,True,True,True,False
castellano,A) 10 B) 12 C) 16 D) 18 E) 19,Álgebra y Aritmética Visual,E,2015,2,E,C,No Answer,A,D,A,D,A,D,D,D,,,,,
castellano,A) −5  B) −16  C) −8  D) −3  E) No puede hacerlo,Patrones y Secuencias,E,2015,6,E,C,No Answer,E,No Answer,A,C,E,D,D,B,False,False,False,True,False
castellano,"A) Solo 5  B) Solo 2  C) Cualquiera de los números 2, 5  D) Cualquiera de los números 1,2,3, 5  E) Cualquiera de los números 2, 3, 5",Álgebra y Aritmética Visual,A,2015,6,C,A,A,A,E,A,B,B,E,A,A,True,True,True,True,True
